ID;NOMBRE;Activado;Productos;Recencia;Frecuencia;PrecioProm;Monto;MERCADO;REGION;PAIS;TIPOCOMPRA;LIMITECREDITO;DIASLIMITECR;EDAD;GRUPOCLIENTE;TIPONEGOCIO
1294217;M S WALKER INC.;Activo;7;0;3;29;203;SIN MERCADO;SIN REGIÓN;SIN SUBREGION;Contado;0;0;1;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294218;GRAND CRU WINES & SPIRITS INC.;Activo;5;0.661;3;26;130;MERCADO INTERNACIONAL;ASIA PACIFIC;FILIPINAS;Credito;5000;0;1;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294219;LOVIGUISCA, S.A;Activo;5;0.086;3;28;140;MERCADO CENTROAMÉRICA;CENTROAMÉRICA;COSTA RICA;Contado;0;0;1;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294220;NORWEGIAN BEVERAGE COMPANY;Activo;4;0;3;27;108;MERCADO INTERNACIONAL;EUROPA;NORUEGA;Credito;70000;0;1;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294221;CRANEHOUSE GMBH;Activo;3;0.634;3;29;87;MERCADO INTERNACIONAL;EUROPA;ALEMANIA;Contado;0;0;1;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294222;RONES SUPERIORES DE PUERTO RICO & CO. INC.;Activo;3;0.073;2;28;84;SIN MERCADO;SIN REGIÓN;SIN SUBREGION;Contado;0;0;1;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294223;ANGGEL'S SHARE LLP;Activo;4;0;3;29;116;MERCADO INTERNACIONAL;ASIA PACIFIC;INDIA;Contado;0;0;1;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294224;BASEL HOLDINGS PTE LTD;Activo;5;0;4;27;135;MERCADO INTERNACIONAL;ASIA PACIFIC;SINGAPUR;Contado;0;0;1;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294225;BODEGAS PERALTA CARABALLO, S.R.L;Activo;6;0.429;5;25;150;SIN MERCADO;SIN REGIÓN;SINGAPUR;Contado;0;0;1;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294226;LCBO;Activo;4;0.036;3;48;192;MERCADO INTERNACIONAL;NORTEAMÉRICA;CANADA;Credito;100000;0;1;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294227;KANATA WINE & SPIRITS INC.;Activo;3;0.038;3;23;69;SIN MERCADO;SIN REGIÓN;SIN SUBREGION;Contado;0;0;1;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294228;BETASTAR LLC;Activo;3;0.738;2;25;75;MERCADO INTERNACIONAL;ASIA PACIFIC;MONGOLIA;Contado;0;0;1;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
